name,country.etc,pop,lat,long,capital
Orange,Australia,30212,-33.28,149.1,0
Pakenham,Australia,10718,-38.06,145.4,0
Palmerston,Australia,32731,-12.4,130.9,0
Parkes,Australia,11218,-33.13,148.17,0
Perth,Australia,1472075,-31.96,115.84,0
Port Augusta,Australia,11947,-32.49,137.77,0
Port Hedland,Australia,14271,-20.31,118.6,0
Port Keats,Australia,1347,-14.25,129.54,0
Port Lincoln,Australia,11182,-34.72,135.85,0
Port Macquarie,Australia,50421,-31.44,152.91,0
Port Pirie,Australia,12194,-33.19,137.98,0
Portland,Australia,8757,-38.34,141.59,0
Queanbeyan,Australia,32677,-35.35,149.22,0
Raymond Terrace,Australia,13705,-32.76,151.76,0
Richmond-Windsor,Australia,18007,-33.6,150.74,0
Rockhampton,Australia,66250,-23.37,150.51,0
Roebourne,Australia,19447,-20.77,117.13,0
Roma,Australia,5471,-26.57,148.78,0
Sale,Australia,12904,-38.11,147.06,0
Sawtell,Australia,14714,-30.37,153.09,0
Shepparton-Mooroopna,Australia,33591,-36.37,145.4,0
Shoalhaven,Australia,97173,-34.88,150.59,0
Singleton,Australia,13913,-32.57,151.16,0
Somerville,Australia,7092,-38.22,145.17,0
Stawell,Australia,7067,-37.06,142.76,0
Sunbury,Australia,30893,-37.57,144.71,0
Sunshine Coast,Australia,332278,-25.88,152.56,0
Swan Hill,Australia,9262,-35.34,143.54,0
Sydney,Australia,4444513,-33.87,151.21,0
Tamworth,Australia,38685,-31.1,150.92,0
Taree,Australia,44126,-31.9,152.47,0
Tennant Creek,Australia,3860,-19.65,134.18,0
Tewantin-Noosa,Australia,33686,-26.39,153.03,0
Toowoomba,Australia,93824,-27.56,151.96,0
Torquay,Australia,6743,-25.28,152.87,0
Townsville,Australia,141227,-19.26,146.78,0
Traralgon,Australia,18265,-38.2,146.53,0
Tumut,Australia,6573,-35.31,148.22,0
Ulladulla,Australia,9317,-35.35,150.47,0
Ulverstone,Australia,9592,-41.16,146.16,0
Victor Harbor,Australia,7792,-35.55,138.62,0
Victoria Point,Australia,12222,-27.58,153.3,0
Wagga Wagga,Australia,55278,-35.12,147.35,0
Wangaratta,Australia,13772,-36.36,146.3,0
Wangi-Rathmines,Australia,9008,-33.03,151.6,0
Warragul,Australia,9138,-38.16,145.93,0
Warrnambool,Australia,30360,-38.38,142.47,0
Warwick,Australia,12552,-28.22,152.03,0
Wellington,Australia,5468,-32.56,148.95,0
Whyalla,Australia,19271,-33.03,137.57,0
Wodonga,Australia,32227,-36.13,146.88,0
Wollongong,Australia,261883,-34.42,150.87,0
Wonthaggi,Australia,5985,-38.61,145.59,0
Yarrawonga-Mulwala,Australia,5665,-36.02,146,0
Yeppoon,Australia,11032,-23.13,150.74,0
Young,Australia,7555,-34.31,148.29,0
Yulara,Australia,4020,-25.23,131.06,0
